当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000245	0.000000	0.000000	0.528710	0.000000	0.000000	0.001010	0.000000	0.000000	0.001016	-0.052521
0.011000	-0.000245	0.004987	1.000000	-0.608616	-0.000240	0.004997	0.000000	0.000000	0.000000	0.000006	0.257058
0.021000	-0.000245	0.000000	1.000000	0.763309	-0.000260	-0.000029	0.000000	0.000000	0.000000	0.000006	-0.028860
0.030000	-0.000245	0.000000	0.000000	0.553211	-0.000265	-0.000080	0.001010	0.000000	0.000000	0.001016	0.072423
0.040000	-0.000245	0.000000	0.000000	0.260038	-0.000280	-0.000132	0.001010	0.000000	0.000000	0.001016	-0.023609
0.051000	-0.000245	0.004987	1.000000	0.119222	-0.000289	0.004809	0.000000	0.000000	0.000000	0.000006	0.185418
0.061000	-0.000245	0.004987	0.000000	-0.243630	-0.000247	0.004679	0.001010	0.000000	0.000000	0.001016	-0.073440
0.070000	-0.000245	0.004987	0.000000	-0.233376	-0.000241	0.004614	0.001010	0.000000	0.000000	0.001016	-0.024636
0.080000	-0.000245	0.004987	0.000000	-0.028876	-0.000226	0.004578	0.001010	0.000000	0.000000	0.001016	0.025975
0.091000	-0.000245	0.004987	0.000000	2.491592	-0.000210	0.004552	0.001011	0.000000	0.000000	0.001016	0.110826
0.101000	-0.000245	0.005818	0.000000	1.601145	-0.000201	0.004511	0.001011	0.000000	0.000000	0.001016	0.152044
0.110000	-0.000245	0.005818	0.000000	0.478545	-0.000201	0.004442	0.001011	0.000000	0.000000	0.001016	-0.097962
0.120000	-0.000245	0.010472	1.000000	-2.048887	-0.000184	0.009881	0.000001	0.000000	0.000000	0.000006	-0.068183
0.131000	-0.000245	0.010472	0.000000	0.143624	0.000008	0.008489	0.001011	0.000000	0.000000	0.001017	-0.059080
0.141000	-0.000245	0.010472	0.000000	0.632102	0.000094	0.008421	0.001011	0.000000	0.000000	0.001017	0.059181
0.150000	-0.000245	0.010472	0.000000	-1.909853	0.000189	0.008385	0.001011	0.000000	0.000000	0.001017	0.019174
0.160000	-0.000258	0.014544	1.000000	0.372421	0.000284	0.012445	0.000001	0.000000	0.000000	0.000007	0.061771
0.171000	-0.000258	0.014544	0.000000	-1.140295	0.000222	0.009119	0.001011	0.000000	0.000000	0.001017	0.012547
0.181000	-0.000258	0.010472	1.000000	-1.566357	0.000387	0.004901	0.000001	0.000000	0.000000	0.000008	-0.022441
0.190000	-0.000270	0.010472	0.000000	-0.340618	0.000377	0.003441	0.001010	0.000000	0.000000	0.001018	0.042488
0.200000	-0.000343	0.019947	1.000000	0.539371	0.000521	0.012884	0.000001	0.000000	0.000000	0.000008	0.043893
0.210000	-0.000527	0.014544	1.000000	-1.503041	0.000357	0.003627	0.000000	0.000000	0.000000	0.000007	0.155805
0.221000	-0.000797	0.014544	0.000000	-0.907624	0.000522	0.002582	0.001010	0.000000	0.000000	0.001017	-0.104672
0.230000	-0.001092	0.019947	1.000000	-0.766397	0.000336	0.008023	0.000000	0.000000	0.000000	0.000008	-0.023353
0.240000	-0.001447	0.005818	1.000000	-0.395314	0.000274	-0.008176	0.000000	0.000000	0.000000	0.000007	0.015785
0.250000	-0.001852	0.005818	0.000000	-0.954115	0.000637	-0.005880	0.001010	0.000000	0.000000	0.001017	-0.094155
0.261000	-0.002343	-0.003491	1.000000	1.690475	0.000252	-0.014728	0.000000	0.000000	0.000000	0.000007	0.077730
0.271000	-0.002858	0.017453	1.000000	0.506832	0.000113	0.010693	0.000000	0.000000	0.000000	0.000007	0.075548
0.280000	-0.003398	0.017453	0.000000	-1.450753	0.000558	0.008774	0.001010	0.000000	0.000000	0.001017	-0.007416
0.290000	-0.003950	0.010472	1.000000	-0.216309	-0.000029	0.002338	0.000000	0.000000	0.000000	0.000007	0.167155
0.301000	-0.004575	0.002909	1.000000	0.638696	-0.000133	-0.005288	0.000000	0.000000	0.000000	0.000007	-0.005978
0.311000	-0.005164	0.002909	0.000000	-0.478795	0.000441	-0.003492	0.001010	0.000000	0.000000	0.001017	0.029877
0.320000	-0.005790	0.006981	1.000000	-1.654021	-0.000244	0.001190	0.000000	0.000000	0.000000	0.000007	0.142750
0.330000	-0.006440	0.006981	0.000000	0.682247	0.000395	0.001458	0.001010	0.000000	0.000000	0.001017	0.147140
0.341000	-0.007151	0.000000	1.000000	-1.911083	-0.000434	-0.005004	0.000000	0.000000	0.000000	0.000008	0.099792
0.351000	-0.007789	0.000000	0.000000	-0.427640	0.000307	-0.003142	0.001010	0.000000	0.000000	0.001017	-0.054206
0.360000	-0.008403	0.000000	0.000000	1.333399	0.000861	-0.002563	0.001011	0.000000	0.000000	0.001018	-0.032950
0.370000	-0.009004	0.000000	0.000000	0.279931	0.001415	-0.001987	0.001011	0.000000	0.000000	0.001018	0.000977
0.381000	-0.009666	0.000000	0.000000	-0.759678	0.001964	-0.001426	0.001011	0.000000	0.000000	0.001019	0.123736
0.391000	-0.010255	0.000000	0.000000	0.478438	0.002495	-0.000910	0.001011	0.000000	0.000000	0.001019	-0.100677
0.400000	-0.010856	0.000000	1.000000	-0.736726	-0.000673	-0.000403	0.000001	0.000000	0.000000	0.000010	-0.001368
0.410000	-0.011482	0.000000	0.000000	0.046076	0.000398	0.000280	0.001011	0.000000	0.000000	0.001019	0.191486
0.421000	-0.012156	0.000000	0.000000	-1.102523	0.000961	0.000737	0.001011	0.000000	0.000000	0.001019	0.107980
0.431000	-0.012745	-0.004987	1.000000	-0.730471	-0.000380	-0.003846	0.000001	0.000000	0.000000	0.000009	-0.012487
0.440000	-0.013322	-0.004987	0.000000	0.316328	0.000411	-0.001783	0.001010	0.000000	0.000000	0.001018	0.124019
0.450000	-0.013861	-0.004987	0.000000	-0.487644	0.000944	-0.001350	0.001011	0.000000	0.000000	0.001019	-0.046727
0.460000	-0.014364	0.000000	1.000000	-0.104545	-0.000150	0.004036	0.000001	0.000000	0.000000	0.000009	0.134064
0.471000	-0.014916	0.000000	0.000000	0.013899	0.000460	0.002676	0.001010	0.000000	0.000000	0.001018	-0.122074
0.480000	-0.015407	-0.008727	1.000000	-0.626691	-0.000045	-0.005781	0.000001	0.000000	0.000000	0.000009	0.154014
0.490000	-0.015910	-0.008727	0.000000	0.523416	0.000484	-0.003349	0.001010	0.000000	0.000000	0.001018	-0.167830
0.500000	-0.016437	-0.008727	0.000000	1.110627	0.000990	-0.002975	0.001011	0.000000	0.000000	0.001018	0.079109
0.511000	-0.016989	-0.004987	1.000000	-0.198681	-0.000114	0.001104	0.000001	0.000000	0.000000	0.000009	0.178470
0.521000	-0.017468	-0.008727	1.000000	-0.313526	-0.000073	-0.002809	0.000000	0.000000	0.000000	0.000008	-0.089411
