当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印	
0.000000	-0.000454	0.008727	1.000000	0.528710	-0.000454	0.008727	0.000000	0.000000	0.000000	0.000006	-0.052521
0.010000	-0.000454	0.010472	0.000000	-0.608616	-0.000449	0.008737	0.001010	0.000000	0.000000	0.001016	0.257058
0.020000	-0.000454	0.010472	0.000000	0.763309	-0.000470	0.008700	0.001010	0.000000	0.000000	0.001016	-0.028860
0.030000	-0.000454	0.010472	0.000000	0.553211	-0.000485	0.008649	0.001010	0.000000	0.000000	0.001016	0.072423
0.040000	-0.000454	0.010472	0.000000	0.260038	-0.000504	0.008595	0.001010	0.000000	0.000000	0.001016	-0.023609
0.051000	-0.000454	0.006981	0.000000	0.119222	-0.000517	0.008549	0.001010	0.000000	0.000000	0.001016	0.185418
0.060000	-0.000454	0.006981	0.000000	-0.243630	-0.000546	0.008476	0.001010	0.000000	0.000000	0.001016	-0.073440
0.070000	-0.000454	0.011636	0.000000	-0.233376	-0.000561	0.008414	0.001010	0.000000	0.000000	0.001016	-0.024636
0.080000	-0.000454	0.011636	0.000000	-0.028876	-0.000570	0.008376	0.001011	0.000000	0.000000	0.001016	0.025975
0.091000	-0.000454	0.011636	0.000000	2.491592	-0.000578	0.008343	0.001011	0.000000	0.000000	0.001016	0.110826
0.100000	-0.000454	0.007480	0.000000	1.601145	-0.000594	0.008293	0.001011	0.000000	0.000000	0.001016	0.152044
0.110000	-0.000454	0.007480	0.000000	0.478545	-0.000620	0.008211	0.001011	0.000000	0.000000	0.001016	-0.097962
0.120000	-0.000454	0.007480	0.000000	-2.048887	-0.000629	0.008149	0.001011	0.000000	0.000000	0.001017	-0.068183
0.130000	-0.000454	0.004987	1.000000	0.143624	-0.000626	0.004383	0.000001	0.000000	0.000000	0.000007	-0.059080
0.140000	-0.000454	0.007480	0.000000	0.632102	-0.000057	0.003604	0.001011	0.000000	0.000000	0.001017	0.059181
0.150000	-0.000454	0.007480	0.000000	-1.909853	0.000025	0.003573	0.001011	0.000000	0.000000	0.001017	0.019174
0.160000	-0.000454	0.005818	0.000000	0.372421	0.000116	0.003560	0.001011	0.000000	0.000000	0.001018	0.061771
0.170000	-0.000454	0.005818	0.000000	-1.140295	0.000211	0.003557	0.001011	0.000000	0.000000	0.001018	0.012547
0.180000	-0.000454	0.005818	0.000000	-1.566357	0.000314	0.003569	0.001011	0.000000	0.000000	0.001019	-0.022441
0.190000	-0.000454	0.005818	0.000000	-0.340618	0.000428	0.003604	0.001011	0.000000	0.000000	0.001019	0.042488
0.200000	-0.000454	0.005818	0.000000	0.539371	0.000545	0.003649	0.001011	0.000000	0.000000	0.001020	0.043893
0.210000	-0.000466	0.010472	1.000000	-1.503041	0.000652	0.009178	0.000002	0.000000	0.000000	0.000011	0.155805
0.220000	-0.000478	0.010472	0.000000	-0.907624	0.000212	0.004650	0.001011	0.000000	0.000000	0.001019	-0.104672
0.230000	-0.000503	0.010472	0.000000	-0.766397	0.000366	0.004513	0.001011	0.000000	0.000000	0.001019	-0.023353
0.240000	-0.000527	0.010472	0.000000	-0.395314	0.000557	0.004484	0.001011	0.000000	0.000000	0.001020	0.015785
0.250000	-0.000601	0.010472	0.000000	-0.954115	0.000778	0.004529	0.001011	0.000000	0.000000	0.001021	-0.094155
0.260000	-0.000785	0.010472	0.000000	1.690475	0.001034	0.004652	0.001011	0.000000	0.000000	0.001022	0.077730
0.270000	-0.000981	0.014544	1.000000	0.506832	0.000790	0.008888	0.000001	0.000000	0.000000	0.000013	0.075548
0.280000	-0.001214	0.014544	0.000000	-1.450753	0.000452	0.003844	0.001011	0.000000	0.000000	0.001019	-0.007416
0.290000	-0.001460	0.010472	1.000000	-0.216309	0.000294	-0.000180	0.000001	0.000000	0.000000	0.000010	0.167155
0.301000	-0.001779	0.011636	0.000000	0.638696	0.000464	0.000049	0.001010	0.000000	0.000000	0.001019	-0.005978
0.310000	-0.002085	0.011636	0.000000	-0.478795	0.000839	0.000286	0.001011	0.000000	0.000000	0.001019	0.029877
0.320000	-0.002441	0.017453	1.000000	-1.654021	0.000265	0.007584	0.000001	0.000000	0.000000	0.000009	0.142750
0.330000	-0.002846	0.005818	1.000000	0.682247	0.000147	-0.006953	0.000000	0.000000	0.000000	0.000008	0.147140
0.341000	-0.003324	0.005818	0.000000	-1.911083	0.000528	-0.004335	0.001010	0.000000	0.000000	0.001018	0.099792
0.350000	-0.003790	0.005818	0.000000	-0.427640	0.000992	-0.003902	0.001010	0.000000	0.000000	0.001018	-0.054206
0.360000	-0.004318	0.007480	0.000000	1.333399	0.001489	-0.003409	0.001011	0.000000	0.000000	0.001019	-0.032950
0.370000	-0.004882	0.007480	0.000000	0.279931	0.002012	-0.002857	0.001011	0.000000	0.000000	0.001019	0.000977
0.380000	-0.005483	0.005818	0.000000	-0.759678	0.002552	-0.002268	0.001011	0.000000	0.000000	0.001020	0.123736
0.390000	-0.006146	0.005818	1.000000	0.478438	-0.000206	-0.001680	0.000001	0.000000	0.000000	0.000010	-0.100677
0.400000	-0.006734	0.004987	0.000000	-0.736726	0.000520	-0.000259	0.001011	0.000000	0.000000	0.001019	-0.001368
0.410000	-0.007335	0.010472	1.000000	0.046076	-0.000087	0.005058	0.000001	0.000000	0.000000	0.000009	0.191486
0.420000	-0.007937	0.010472	0.000000	-1.102523	0.000550	0.003623	0.001010	0.000000	0.000000	0.001018	0.107980
0.430000	-0.008611	0.005818	1.000000	-0.730471	-0.000127	-0.000535	0.000001	0.000000	0.000000	0.000009	-0.012487
0.440000	-0.009237	0.002909	0.000000	0.316328	0.000559	0.000195	0.001010	0.000000	0.000000	0.001018	0.124019
0.450000	-0.009887	0.002909	1.000000	-0.487644	-0.000091	-0.002165	0.000001	0.000000	0.000000	0.000008	-0.046727
0.460000	-0.010598	0.004987	0.000000	-0.104545	0.000594	-0.000860	0.001010	0.000000	0.000000	0.001018	0.134064
0.470000	-0.011359	0.010472	1.000000	0.013899	-0.000245	0.007296	0.000000	0.000000	0.000000	0.000008	-0.122074
0.480000	-0.012046	0.010472	0.000000	-0.626691	0.000553	0.005528	0.001010	0.000000	0.000000	0.001018	0.154014
0.490000	-0.012684	0.000000	1.000000	0.523416	-0.000082	-0.004455	0.000000	0.000000	0.000000	0.000008	-0.167830
0.500000	-0.013358	0.004987	1.000000	1.110627	-0.000002	0.002501	0.000000	0.000000	0.000000	0.000008	0.079109
0.510000	-0.014107	0.004987	0.000000	-0.198681	0.000714	0.002453	0.001010	0.000000	0.000000	0.001017	0.178470
0.520000	-0.014843	0.000000	1.000000	-0.313526	-0.000067	-0.001974	0.000000	0.000000	0.000000	0.000008	-0.089411
0.530000	-0.015603	0.000000	0.000000	2.100962	0.000678	-0.000841	0.001010	0.000000	0.000000	0.001017	0.021932
0.540000	-0.016339	0.004987	1.000000	-0.917517	-0.000106	0.004753	0.000000	0.000000	0.000000	0.000008	-0.017124
0.551000	-0.017149	0.000000	1.000000	-2.022387	-0.000138	-0.001009	0.000000	0.000000	0.000000	0.000007	0.065062
0.560000	-0.017860	0.000000	0.000000	-2.275925	0.000649	-0.000225	0.001010	0.000000	0.000000	0.001017	-0.051474
0.570000	-0.018572	-0.004987	1.000000	-0.459681	-0.000030	-0.004658	0.000000	0.000000	0.000000	0.000008	0.087098
0.580000	-0.019283	-0.003491	0.000000	-1.719550	0.000708	-0.002850	0.001010	0.000000	0.000000	0.001017	-0.033093
0.591000	-0.020093	-0.003491	0.000000	0.452851	0.001425	-0.002254	0.001010	0.000000	0.000000	0.001018	0.160999
0.600000	-0.020866	0.000000	1.000000	0.612788	-0.000180	0.003273	0.000001	0.000000	0.000000	0.000008	-0.071291
0.610000	-0.021614	-0.004987	1.000000	-0.338521	-0.000125	-0.002253	0.000000	0.000000	0.000000	0.000008	0.112277
0.620000	-0.022338	-0.004987	0.000000	0.996067	0.000625	-0.001185	0.001010	0.000000	0.000000	0.001017	0.000230
0.630000	-0.023012	-0.004987	0.000000	-0.604115	0.001315	-0.000728	0.001010	0.000000	0.000000	0.001018	0.009756
0.640000	-0.023724	-0.004987	0.000000	-1.387060	0.001997	-0.000285	0.001011	0.000000	0.000000	0.001018	0.014203
0.650000	-0.024386	-0.008727	1.000000	0.387677	-0.000105	-0.003599	0.000001	0.000000	0.000000	0.000009	0.104916
0.660000	-0.025073	-0.008727	0.000000	-1.097909	0.000604	-0.001883	0.001010	0.000000	0.000000	0.001018	0.057271
0.670000	-0.025760	-0.008727	0.000000	0.306920	0.001227	-0.001471	0.001011	0.000000	0.000000	0.001018	-0.049242
0.680000	-0.026508	-0.008727	0.000000	0.384917	0.001837	-0.001087	0.001011	0.000000	0.000000	0.001019	-0.016226
0.690000	-0.027109	-0.008727	0.000000	-0.955872	0.002430	-0.000726	0.001011	0.000000	0.000000	0.001020	-0.124922
0.700000	-0.027698	-0.008727	1.000000	0.426740	-0.000295	-0.000371	0.000001	0.000000	0.000000	0.000010	-0.065862
0.710000	-0.028262	-0.014960	1.000000	0.515378	-0.000057	-0.006081	0.000001	0.000000	0.000000	0.000009	0.082912
0.720000	-0.028863	-0.008727	1.000000	1.469069	-0.000079	0.002668	0.000000	0.000000	0.000000	0.000008	0.059566
0.730000	-0.029403	-0.008727	0.000000	-0.622464	0.000473	0.002198	0.001010	0.000000	0.000000	0.001018	-0.043294
0.740000	-0.029931	-0.011636	0.000000	0.394327	0.000973	0.002439	0.001010	0.000000	0.000000	0.001018	0.034245
0.750000	-0.030458	-0.004987	1.000000	-0.313035	-0.000149	0.006373	0.000001	0.000000	0.000000	0.000008	-0.023569
0.760000	-0.030998	-0.004987	0.000000	-0.301214	0.000404	0.004378	0.001010	0.000000	0.000000	0.001018	0.003300
0.770000	-0.031464	-0.012467	1.000000	-0.117269	-0.000127	-0.003056	0.000001	0.000000	0.000000	0.000008	-0.099570
0.780000	-0.031881	-0.012467	0.000000	0.811510	0.000412	-0.001977	0.001010	0.000000	0.000000	0.001018	0.109955
0.790000	-0.032286	-0.008727	1.000000	-0.782656	0.000041	0.001878	0.000001	0.000000	0.000000	0.000008	0.007979
0.801000	-0.032715	-0.004987	1.000000	-1.376824	0.000030	0.005105	0.000000	0.000000	0.000000	0.000008	-0.029231
0.810000	-0.033095	-0.004987	0.000000	-1.087448	0.000460	0.003753	0.001010	0.000000	0.000000	0.001017	0.101780
0.820000	-0.033463	-0.008727	1.000000	-1.505035	0.000144	-0.000010	0.000000	0.000000	0.000000	0.000008	-0.035611
0.830000	-0.033819	-0.008727	0.000000	1.029571	0.000509	-0.000002	0.001010	0.000000	0.000000	0.001018	0.246084
0.841000	-0.034212	-0.008727	0.000000	-1.056759	0.000907	-0.000023	0.001010	0.000000	0.000000	0.001018	0.040018
0.850000	-0.034580	-0.004987	1.000000	0.554055	0.000184	0.003687	0.000001	0.000000	0.000000	0.000008	0.000495
0.860000	-0.034948	-0.004987	0.000000	0.469107	0.000478	0.002464	0.001010	0.000000	0.000000	0.001018	0.021618
0.870000	-0.035316	-0.010908	1.000000	-0.556874	0.000137	-0.003506	0.000001	0.000000	0.000000	0.000008	-0.105247
