当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000184	-0.008727	1.000000	2.570582	-0.000184	-0.008727	0.000000	0.000000	0.000000	0.000006	-0.005252	0.005287
0.010000	-0.000184	-0.008727	0.000000	-0.608616	-0.000184	-0.008727	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.019000	-0.000184	-0.004987	1.000000	0.724230	-0.000184	-0.004987	0.000000	0.000000	0.000000	0.000006	-0.002886	0.007633
0.029000	-0.000184	-0.004987	0.000000	0.553211	-0.000179	-0.004980	0.001010	0.000000	0.000000	0.001016	-0.002886	0.007633
0.040000	-0.000184	-0.004987	0.000000	-0.236094	-0.000177	-0.004977	0.001010	0.000000	0.000000	0.001016	-0.002886	0.007633
0.050000	-0.000184	-0.004987	0.000000	0.260038	-0.000175	-0.004975	0.001010	0.000000	0.000000	0.001016	-0.002886	0.007633
0.060000	-0.000184	-0.004987	0.000000	1.854184	-0.000173	-0.004973	0.001010	0.000000	0.000000	0.001016	-0.002886	0.007633
0.069000	-0.000184	0.000000	1.000000	-0.243630	-0.000172	0.000016	0.000000	0.000000	0.000000	0.000006	0.001192	-0.007344
0.079000	-0.000184	0.000000	0.000000	-0.246358	-0.000096	0.000018	0.001010	0.000000	0.000000	0.001016	0.001192	-0.007344
0.090000	-0.000184	0.000000	0.000000	-0.233376	-0.000081	0.000022	0.001010	0.000000	0.000000	0.001016	0.001192	-0.007344
0.100000	-0.000184	0.000000	0.000000	0.259752	-0.000066	0.000027	0.001011	0.000000	0.000000	0.001016	0.001192	-0.007344
0.109000	-0.000184	0.000000	0.000000	-0.028876	-0.000050	0.000033	0.001011	0.000000	0.000000	0.001016	0.001192	-0.007344
0.119000	-0.000184	0.000000	0.000000	1.108265	-0.000035	0.000040	0.001011	0.000000	0.000000	0.001017	0.001192	-0.007344
0.130000	-0.000184	-0.004987	1.000000	1.601145	-0.000019	-0.004939	0.000001	0.000000	0.000000	0.000007	0.024916	0.015204
0.140000	-0.000184	-0.003491	0.000000	-0.979618	0.000002	-0.004077	0.001011	0.000000	0.000000	0.001017	0.024916	0.015204
0.149000	-0.000184	-0.003491	0.000000	0.478545	0.000002	-0.004013	0.001011	0.000000	0.000000	0.001017	0.024916	0.015204
0.159000	-0.000184	-0.008727	1.000000	-0.590798	-0.000006	-0.007708	0.000001	0.000000	0.000000	0.000007	-0.006818	-0.020489
0.170000	-0.000184	-0.008727	0.000000	0.143624	-0.000037	-0.005693	0.001010	0.000000	0.000000	0.001017	-0.006818	-0.020489
0.180000	-0.000184	-0.008727	0.000000	0.591812	-0.000095	-0.005579	0.001011	0.000000	0.000000	0.001018	-0.006818	-0.020489
0.189000	-0.000184	0.000000	1.000000	-1.909853	-0.000173	0.003209	0.000001	0.000000	0.000000	0.000008	0.006321	0.001917
0.199000	-0.000184	0.000000	0.000000	0.617709	-0.000149	0.002166	0.001010	0.000000	0.000000	0.001018	0.006321	0.001917
0.210000	-0.000172	0.000000	0.000000	0.372421	-0.000230	0.002082	0.001011	0.000000	0.000000	0.001018	0.006321	0.001917
0.220000	-0.000172	0.000000	0.000000	0.125467	-0.000316	0.001986	0.001011	0.000000	0.000000	0.001019	0.006321	0.001917
0.229000	-0.000159	0.000000	0.000000	-1.140295	-0.000406	0.001880	0.001011	0.000000	0.000000	0.001019	0.006321	0.001917
0.239000	-0.000147	0.000000	0.000000	-0.224410	-0.000501	0.001765	0.001011	0.000000	0.000000	0.001020	0.006321	0.001917
0.250000	-0.000110	0.000000	0.000000	-1.566357	-0.000598	0.001644	0.001011	0.000000	0.000000	0.001021	0.006321	0.001917
0.260000	-0.000061	0.000000	0.000000	0.424883	-0.000698	0.001519	0.001011	0.000000	0.000000	0.001022	0.006321	0.001917
0.269000	-0.000012	0.000000	0.000000	-0.340618	-0.000799	0.001390	0.001011	0.000000	0.000000	0.001023	0.006321	0.001917
0.279000	0.000061	0.000000	0.000000	0.438926	-0.000901	0.001259	0.001012	0.000000	0.000000	0.001024	0.006321	0.001917
0.290000	0.000196	0.000000	0.000000	0.539371	-0.001004	0.001127	0.001012	0.000000	0.000000	0.001025	0.006321	0.001917
0.300000	0.000343	0.000000	0.000000	1.558054	-0.001107	0.000995	0.001012	0.000000	0.000000	0.001027	0.006321	0.001917
0.310000	0.000478	0.000000	0.000000	-1.503041	-0.001209	0.000864	0.001013	0.000000	0.000000	0.001029	0.006321	0.001917
0.319000	0.000601	0.000000	0.000000	-1.046723	-0.001309	0.000736	0.001013	0.000000	0.000000	0.001031	0.006321	0.001917
0.329000	0.000724	0.000000	0.000000	-0.907624	-0.001408	0.000610	0.001014	0.000000	0.000000	0.001033	0.006321	0.001917
0.340000	0.000846	0.000000	0.000000	-0.233533	-0.001505	0.000488	0.001015	0.000000	0.000000	0.001036	0.006321	0.001917
0.350000	0.000969	0.000000	0.000000	-0.766397	-0.001600	0.000370	0.001015	0.000000	0.000000	0.001038	0.006321	0.001917
0.359000	0.001092	0.000000	0.000000	0.157851	-0.001690	0.000258	0.001016	0.000000	0.000000	0.001041	0.006321	0.001917
0.369000	0.001214	0.000000	0.000000	-0.395314	-0.001778	0.000151	0.001017	0.000000	0.000000	0.001045	0.006321	0.001917
0.380000	0.001349	0.000000	0.000000	-0.941550	-0.001861	0.000052	0.001018	0.000000	0.000000	0.001048	0.006321	0.001917
0.390000	0.001472	0.010472	1.000000	1.690475	-0.000284	0.010432	0.000009	0.000000	0.000000	0.000041	-0.009541	0.007773
0.399000	0.001595	0.010472	0.000000	0.755485	-0.000010	0.000909	0.001011	0.000000	0.000000	0.001021	-0.009541	0.007773
0.409000	0.001705	0.000000	1.000000	-1.450753	0.000289	-0.009891	0.000001	0.000000	0.000000	0.000012	0.005068	-0.000742
0.420000	0.001766	0.000000	0.000000	1.671552	0.000189	-0.004576	0.001010	0.000000	0.000000	0.001019	0.005068	-0.000742
0.430000	0.001803	0.000000	0.000000	-0.216309	0.000267	-0.004452	0.001011	0.000000	0.000000	0.001020	0.005068	-0.000742
0.439000	0.001803	0.000000	0.000000	-0.059779	0.000356	-0.004303	0.001011	0.000000	0.000000	0.001020	0.005068	-0.000742
0.449000	0.001803	0.000000	0.000000	0.638696	0.000455	-0.004133	0.001011	0.000000	0.000000	0.001021	0.005068	-0.000742
0.460000	0.001803	0.000000	0.000000	0.298773	0.000562	-0.003945	0.001011	0.000000	0.000000	0.001022	0.005068	-0.000742
0.470000	0.001791	0.000000	0.000000	-0.478795	0.000676	-0.003743	0.001011	0.000000	0.000000	0.001023	0.005068	-0.000742
0.479000	0.001791	0.000000	0.000000	1.427503	0.000795	-0.003531	0.001011	0.000000	0.000000	0.001024	0.005068	-0.000742
0.489000	0.001791	0.000000	0.000000	-1.654021	0.000918	-0.003309	0.001012	0.000000	0.000000	0.001025	0.005068	-0.000742
0.500000	0.001791	0.000000	0.000000	1.471402	0.001044	-0.003081	0.001012	0.000000	0.000000	0.001027	0.005068	-0.000742
0.510000	0.001779	0.000000	0.000000	0.682247	0.001173	-0.002849	0.001012	0.000000	0.000000	0.001028	0.005068	-0.000742
0.519000	0.001779	0.000000	0.000000	0.997919	0.001302	-0.002614	0.001013	0.000000	0.000000	0.001030	0.005068	-0.000742
0.529000	0.001754	0.000000	0.000000	-1.911083	0.001431	-0.002379	0.001013	0.000000	0.000000	0.001032	0.005068	-0.000742
0.540000	0.001717	0.000000	0.000000	-0.542057	0.001560	-0.002145	0.001014	0.000000	0.000000	0.001035	0.005068	-0.000742
0.550000	0.001681	0.000000	0.000000	-0.427640	0.001687	-0.001913	0.001014	0.000000	0.000000	0.001037	0.005068	-0.000742
0.560000	0.001619	0.000000	0.000000	-0.329504	0.001811	-0.001686	0.001015	0.000000	0.000000	0.001040	0.005068	-0.000742
0.569000	0.001558	0.000000	0.000000	1.333399	0.001931	-0.001465	0.001016	0.000000	0.000000	0.001043	0.005068	-0.000742
0.579000	0.001472	0.000000	0.000000	0.009772	0.002047	-0.001251	0.001017	0.000000	0.000000	0.001046	0.005068	-0.000742
0.590000	0.001386	0.000000	0.000000	0.279931	0.002158	-0.001046	0.001018	0.000000	0.000000	0.001050	0.005068	-0.000742
0.600000	0.001300	0.000000	0.000000	1.237356	0.002263	-0.000852	0.001019	0.000000	0.000000	0.001054	0.005068	-0.000742
0.609000	0.001214	0.000000	0.000000	-0.759678	0.002361	-0.000668	0.001020	0.000000	0.000000	0.001058	0.005068	-0.000742
0.619000	0.001141	0.000000	0.000000	-1.006767	0.002451	-0.000498	0.001021	0.000000	0.000000	0.001062	0.005068	-0.000742
0.630000	0.001055	0.006981	1.000000	-0.736726	0.001884	0.006641	0.000012	0.000000	0.000000	0.000056	0.004784	-0.000137
0.640000	0.000981	0.000000	1.000000	1.079801	0.000023	-0.006465	0.000001	0.000000	0.000000	0.000011	0.019149	0.000461
0.649000	0.000895	0.000000	0.000000	-1.102523	0.000073	-0.003123	0.001010	0.000000	0.000000	0.001019	0.019149	0.000461
0.659000	0.000797	0.000000	0.000000	-0.124871	0.000142	-0.003011	0.001011	0.000000	0.000000	0.001019	0.019149	0.000461
0.670000	0.000675	0.004987	1.000000	0.316328	-0.000089	0.002101	0.000001	0.000000	0.000000	0.000010	-0.007305	0.012402
