当前时刻	小车位置	摆杆偏角	触发标志	外部高斯	残差1	残差2	残差上界1	残差上界2	残差上界3	残差上界4	水印1	水印2	
0.000000	-0.000307	-0.004987	1.000000	2.570582	-0.000307	-0.004987	0.000000	0.000000	0.000000	0.000006	-0.005252	0.005287
0.011000	-0.000307	-0.004987	0.000000	-0.608616	-0.000307	-0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.021000	-0.000307	-0.004987	0.000000	-0.288598	-0.000307	-0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.031000	-0.000307	-0.004987	0.000000	0.763309	-0.000307	-0.004987	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.040000	-0.000307	-0.004987	0.000000	0.724230	-0.000307	-0.004986	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.050000	-0.000307	-0.004987	0.000000	0.553211	-0.000307	-0.004986	0.001010	0.000000	0.000000	0.001016	-0.005252	0.005287
0.061000	-0.000307	0.000000	1.000000	1.854184	-0.000307	0.000001	0.000000	0.000000	0.000000	0.000006	-0.002361	0.002600
0.071000	-0.000307	0.000000	0.000000	0.119222	-0.000204	0.000003	0.001010	0.000000	0.000000	0.001016	-0.002361	0.002600
0.080000	-0.000307	0.000000	0.000000	-0.734402	-0.000184	0.000007	0.001010	0.000000	0.000000	0.001016	-0.002361	0.002600
0.090000	-0.000307	0.000000	0.000000	-0.243630	-0.000162	0.000014	0.001011	0.000000	0.000000	0.001016	-0.002361	0.002600
0.101000	-0.000307	-0.004987	1.000000	0.259752	-0.000141	-0.004965	0.000001	0.000000	0.000000	0.000006	-0.002464	-0.002334
0.111000	-0.000307	-0.004987	0.000000	-0.028876	-0.000034	-0.004531	0.001010	0.000000	0.000000	0.001016	-0.002464	-0.002334
0.121000	-0.000307	-0.004987	0.000000	1.108265	-0.000009	-0.004483	0.001011	0.000000	0.000000	0.001016	-0.002464	-0.002334
0.130000	-0.000307	-0.004987	0.000000	2.491592	0.000012	-0.004444	0.001011	0.000000	0.000000	0.001017	-0.002464	-0.002334
0.141000	-0.000307	0.000000	1.000000	-0.979618	0.000029	0.000575	0.000001	0.000000	0.000000	0.000007	0.015204	0.016011
0.151000	-0.000307	0.000000	0.000000	0.478545	0.000024	0.000480	0.001010	0.000000	0.000000	0.001017	0.015204	0.016011
0.161000	-0.000307	0.000000	0.000000	-0.681835	0.000036	0.000486	0.001011	0.000000	0.000000	0.001017	0.015204	0.016011
0.170000	-0.000307	0.000000	0.000000	-2.048887	0.000047	0.000489	0.001011	0.000000	0.000000	0.001018	0.015204	0.016011
0.181000	-0.000307	0.000000	0.000000	-0.590798	0.000056	0.000488	0.001011	0.000000	0.000000	0.001018	0.015204	0.016011
0.191000	-0.000307	0.000000	0.000000	0.143624	0.000064	0.000485	0.001011	0.000000	0.000000	0.001019	0.015204	0.016011
0.201000	-0.000307	0.000000	0.000000	0.591812	0.000070	0.000479	0.001011	0.000000	0.000000	0.001019	0.015204	0.016011
0.210000	-0.000307	0.000000	0.000000	0.632102	0.000076	0.000472	0.001011	0.000000	0.000000	0.001020	0.015204	0.016011
0.221000	-0.000294	0.000000	0.000000	0.191736	0.000081	0.000463	0.001012	0.000000	0.000000	0.001021	0.015204	0.016011
0.231000	-0.000294	0.000000	0.000000	-1.909853	0.000085	0.000452	0.001012	0.000000	0.000000	0.001022	0.015204	0.016011
0.241000	-0.000294	0.000000	0.000000	0.617709	0.000088	0.000439	0.001012	0.000000	0.000000	0.001023	0.015204	0.016011
0.250000	-0.000294	0.000000	0.000000	0.372421	0.000091	0.000426	0.001012	0.000000	0.000000	0.001024	0.015204	0.016011
0.261000	-0.000294	0.000000	0.000000	0.125467	0.000093	0.000411	0.001013	0.000000	0.000000	0.001026	0.015204	0.016011
0.271000	-0.000294	0.000000	0.000000	-1.140295	0.000095	0.000395	0.001013	0.000000	0.000000	0.001028	0.015204	0.016011
0.281000	-0.000294	0.000000	0.000000	-0.224410	0.000096	0.000379	0.001014	0.000000	0.000000	0.001029	0.015204	0.016011
0.290000	-0.000294	0.000000	0.000000	-1.566357	0.000097	0.000362	0.001015	0.000000	0.000000	0.001032	0.015204	0.016011
0.300000	-0.000294	0.000000	0.000000	0.424883	0.000097	0.000344	0.001015	0.000000	0.000000	0.001034	0.015204	0.016011
0.311000	-0.000294	0.000000	0.000000	-0.340618	0.000097	0.000326	0.001016	0.000000	0.000000	0.001037	0.015204	0.016011
0.321000	-0.000294	0.000000	0.000000	0.438926	0.000097	0.000307	0.001017	0.000000	0.000000	0.001040	0.015204	0.016011
0.330000	-0.000282	0.000000	0.000000	0.539371	0.000097	0.000288	0.001018	0.000000	0.000000	0.001043	0.015204	0.016011
0.340000	-0.000294	0.000000	0.000000	1.558054	0.000097	0.000269	0.001019	0.000000	0.000000	0.001046	0.015204	0.016011
0.351000	-0.000282	-0.004987	1.000000	-0.907624	0.000121	-0.004737	0.000010	0.000000	0.000000	0.000039	-0.015030	-0.010467
0.361000	-0.000282	-0.004987	0.000000	-0.233533	-0.000036	-0.000496	0.001011	0.000000	0.000000	0.001021	-0.015030	-0.010467
0.371000	-0.000282	-0.004987	0.000000	-0.766397	-0.000105	-0.000392	0.001011	0.000000	0.000000	0.001022	-0.015030	-0.010467
0.380000	-0.000270	0.000000	1.000000	-0.941550	-0.000188	0.004631	0.000001	0.000000	0.000000	0.000013	0.001579	-0.003953
0.391000	-0.000270	0.000000	0.000000	-0.954115	-0.000154	0.001877	0.001010	0.000000	0.000000	0.001019	0.001579	-0.003953
0.401000	-0.000245	0.000000	0.000000	0.777303	-0.000237	0.001726	0.001011	0.000000	0.000000	0.001020	0.001579	-0.003953
0.411000	-0.000196	0.000000	0.000000	1.690475	-0.000321	0.001579	0.001011	0.000000	0.000000	0.001021	0.001579	-0.003953
0.420000	-0.000135	-0.004987	1.000000	-0.074157	-0.000269	-0.003550	0.000001	0.000000	0.000000	0.000011	0.007555	0.005068
0.431000	-0.000074	-0.004987	0.000000	-1.450753	-0.000167	-0.001818	0.001011	0.000000	0.000000	0.001019	0.007555	0.005068
0.441000	0.000037	-0.004987	0.000000	1.671552	-0.000253	-0.001877	0.001011	0.000000	0.000000	0.001020	0.007555	0.005068
0.451000	0.000172	-0.004987	0.000000	-0.216309	-0.000349	-0.001958	0.001011	0.000000	0.000000	0.001020	0.007555	0.005068
0.460000	0.000307	-0.008727	1.000000	0.298773	-0.000013	-0.005797	0.000001	0.000000	0.000000	0.000011	-0.000598	0.006387
0.471000	0.000478	-0.008727	0.000000	-0.478795	-0.000140	-0.003026	0.001011	0.000000	0.000000	0.001019	-0.000598	0.006387
0.481000	0.000638	0.000000	1.000000	1.471402	0.000028	0.005662	0.000001	0.000000	0.000000	0.000009	0.014275	-0.016540
0.491000	0.000810	0.000000	0.000000	0.682247	-0.000157	0.003232	0.001010	0.000000	0.000000	0.001018	0.014275	-0.016540
0.500000	0.000994	0.000000	0.000000	0.997919	-0.000331	0.002995	0.001011	0.000000	0.000000	0.001019	0.014275	-0.016540
0.511000	0.001214	0.000000	0.000000	-1.911083	-0.000508	0.002755	0.001011	0.000000	0.000000	0.001019	0.014275	-0.016540
